PassengerId,Survived,Name,Age,SibSp,Parch,Ticket,Fare,Sex_male,Embarked_Q,Embarked_S,Pclass_2,Pclass_3
33,1,"Glynn, Miss. Mary Agatha",0.34656948982156316,0.0,0.0,335677,0.11923076923076924,False,True,False,False,True
34,0,"Wheadon, Mr. Edward H",0.8240764011058055,0.0,0.0,C.A. 24579,0.16153846153846155,True,False,True,True,False
36,0,"Holverson, Mr. Alexander Oskar",0.5224930887157577,0.2,0.0,113789,0.8,True,False,True,False,False
37,1,"Mamee, Mr. Hanna",0.34656948982156316,0.0,0.0,2677,0.11121846153846154,True,False,False,False,True
38,0,"Cann, Mr. Ernest Charles",0.2586076903744659,0.0,0.0,A./5. 2152,0.12384615384615387,True,False,True,False,True
39,0,"Vander Planke, Miss. Augusta Maria",0.22090977632571,0.4,0.0,345764,0.27692307692307694,False,False,True,False,True
40,1,"Nicola-Yarred, Miss. Jamila",0.17064589092736868,0.2,0.0,2651,0.17294923076923077,False,False,False,False,True
41,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0.49736114601658704,0.2,0.0,7546,0.14576923076923076,False,False,True,False,True
42,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",0.33400351847197784,0.2,0.0,11668,0.3230769230769231,False,False,True,True,False
43,0,"Kraeff, Mr. Theodor",0.34656948982156316,0.0,0.0,349253,0.12147384615384617,True,False,False,False,True
44,1,"Laroche, Miss. Simonne Marie Anne Andree",0.032420206081930136,0.2,0.3333333333333333,SC/Paris 2123,0.63968,False,False,False,True,False
45,1,"Devaney, Miss. Margaret Delia",0.2334757476752953,0.0,0.0,330958,0.12121846153846154,False,True,False,False,True
46,0,"Rogers, Mr. William John",0.34656948982156316,0.0,0.0,S.C./A.4. 23567,0.12384615384615387,True,False,True,False,True
47,0,"Lennon, Mr. Denis",0.34656948982156316,0.2,0.0,370371,0.23846153846153847,True,True,False,False,True
48,1,"O'Driscoll, Miss. Bridget",0.34656948982156316,0.0,0.0,14311,0.11923076923076924,False,True,False,False,True
49,0,"Samaan, Mr. Youssef",0.34656948982156316,0.4,0.0,2662,0.3335261538461539,True,False,False,False,True
50,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",0.22090977632571,0.2,0.0,349237,0.27384615384615385,False,False,True,False,True
51,0,"Panula, Master. Juha Niilo",0.08268409148027142,0.8,0.16666666666666666,3101295,0.6105769230769231,True,False,True,False,True
52,0,"Nosworthy, Mr. Richard Cater",0.2586076903744659,0.0,0.0,A/4. 39886,0.12000000000000001,True,False,True,False,True
54,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",0.35913546117114853,0.2,0.0,2926,0.4,False,False,True,True,False
55,0,"Ostby, Mr. Engelhart Cornelius",0.8115104297562202,0.0,0.16666666666666666,113509,0.9535261538461539,True,False,False,False,False
56,1,"Woolner, Mr. Hugh",0.34656948982156316,0.0,0.0,19947,0.5461538461538462,True,False,True,False,False
57,1,"Rugg, Miss. Emily",0.2586076903744659,0.0,0.0,C.A. 31026,0.16153846153846155,False,False,True,True,False
58,0,"Novel, Mr. Mansouer",0.35285247549635584,0.0,0.0,2697,0.11121846153846154,True,False,False,False,True
59,1,"West, Miss. Constance Mirium",0.05755214878110078,0.2,0.3333333333333333,C.A. 34651,0.42692307692307696,False,False,True,True,False
60,0,"Goodwin, Master. William Frederick",0.1329479768786127,1.0,0.3333333333333333,CA 2144,0.7215384615384616,True,False,True,False,True
61,0,"Sirayanian, Mr. Orsen",0.2711736617240512,0.0,0.0,2669,0.11121846153846154,True,False,False,False,True
64,0,"Skoog, Master. Harald",0.04498617743151546,0.6000000000000001,0.3333333333333333,347088,0.42923076923076925,True,False,True,False,True
65,0,"Stewart, Mr. Albert A",0.34656948982156316,0.0,0.0,PC 17605,0.4264738461538462,True,False,False,False,False
66,1,"Moubarek, Master. Gerios",0.34656948982156316,0.2,0.16666666666666666,2661,0.23455076923076923,True,False,False,False,True
67,1,"Nye, Mrs. (Elizabeth Ramell)",0.35913546117114853,0.0,0.0,C.A. 29395,0.16153846153846155,False,False,True,True,False
68,0,"Crease, Mr. Ernest James",0.2334757476752953,0.0,0.0,S.P. 3464,0.1255123076923077,True,False,True,False,True
69,1,"Andersson, Miss. Erna Alexandra",0.20834380497612465,0.8,0.3333333333333333,3101281,0.12192307692307693,False,False,True,False,True
70,0,"Kink, Mr. Vincenz",0.32143754712239253,0.4,0.0,315151,0.13326923076923078,True,False,True,False,True
71,0,"Jenkin, Mr. Stephen Curnow",0.39683337521990447,0.0,0.0,C.A. 33111,0.16153846153846155,True,False,True,True,False
72,0,"Goodwin, Miss. Lillian Amy",0.19577783362653933,1.0,0.3333333333333333,CA 2144,0.7215384615384616,False,False,True,False,True
74,0,"Chronopoulos, Mr. Apostolos",0.32143754712239253,0.2,0.0,2680,0.2223723076923077,True,False,False,False,True
75,1,"Bing, Mr. Lee",0.39683337521990447,0.0,0.0,1601,0.8691661538461539,True,False,True,False,True
76,0,"Moen, Mr. Sigurd Hansen",0.3088715757728072,0.0,0.0,348123,0.11769230769230771,True,False,True,False,True
77,0,"Staneff, Mr. Ivan",0.34656948982156316,0.0,0.0,349208,0.12147384615384617,True,False,True,False,True
78,0,"Moutal, Mr. Rahamin Haim",0.34656948982156316,0.0,0.0,374746,0.12384615384615387,True,False,True,False,True
79,1,"Caldwell, Master. Alden Gates",0.005152048253329982,0.0,0.3333333333333333,248738,0.4461538461538462,True,False,True,True,False
80,1,"Dowdell, Miss. Elizabeth",0.37170143252073384,0.0,0.0,364516,0.19192307692307692,False,False,True,False,True
81,0,"Waelens, Mr. Achille",0.2711736617240512,0.0,0.0,345767,0.13846153846153847,True,False,True,False,True
82,1,"Sheerlinck, Mr. Jan Baptist",0.35913546117114853,0.0,0.0,345779,0.14615384615384616,True,False,True,False,True
83,1,"McDermott, Miss. Brigdet Delia",0.34656948982156316,0.0,0.0,330932,0.11980769230769231,False,True,False,False,True
84,0,"Carrau, Mr. Francisco M",0.34656948982156316,0.0,0.0,113059,0.7246153846153847,True,False,True,False,False
85,1,"Ilett, Miss. Bertha",0.20834380497612465,0.0,0.0,SO/C 14885,0.16153846153846155,False,False,True,True,False
86,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",0.4093993465694898,0.6000000000000001,0.0,3101278,0.24384615384615385,False,False,True,False,True
87,0,"Ford, Mr. William Neal",0.19577783362653933,0.2,0.5,W./C. 6608,0.5288461538461539,True,False,True,False,True
88,0,"Slocovski, Mr. Selman Francis",0.34656948982156316,0.0,0.0,SOTON/OQ 392086,0.12384615384615387,True,False,True,False,True
90,0,"Celotti, Mr. Francesco",0.2963056044232219,0.0,0.0,343275,0.12384615384615387,True,False,True,False,True
91,0,"Christmann, Mr. Emil",0.35913546117114853,0.0,0.0,343276,0.12384615384615387,True,False,True,False,True
92,0,"Andreasson, Mr. Paul Edvin",0.24604171902488062,0.0,0.0,347466,0.12083384615384615,True,False,True,False,True
93,0,"Chaffee, Mr. Herbert Fuller",0.5727569741140991,0.2,0.0,W.E.P. 5734,0.9411538461538461,True,False,True,False,False
94,0,"Dean, Mr. Bertram Frank",0.32143754712239253,0.2,0.3333333333333333,C.A. 2315,0.31653846153846155,True,False,True,False,True
95,0,"Coxon, Mr. Daniel",0.7361146016587082,0.0,0.0,364500,0.11153846153846154,True,False,True,False,True
96,0,"Shorney, Mr. Charles Joseph",0.34656948982156316,0.0,0.0,374910,0.12384615384615387,True,False,True,False,True
97,0,"Goldschmidt, Mr. George B",0.8869062578537321,0.0,0.0,PC 17754,0.5331415384615386,True,False,False,False,False
98,1,"Greenfield, Mr. William Bertram",0.2837396330736366,0.0,0.16666666666666666,PC 17759,0.9747430769230769,True,False,False,False,False
99,1,"Doling, Mrs. John T (Ada Julia Bone)",0.4219653179190751,0.0,0.16666666666666666,231919,0.35384615384615387,False,False,True,True,False
100,0,"Kantor, Mr. Sinai",0.4219653179190751,0.2,0.0,244367,0.4,True,False,True,True,False
101,0,"Petranec, Miss. Matilda",0.34656948982156316,0.0,0.0,349245,0.12147384615384617,False,False,True,False,True
102,0,"Petroff, Mr. Pastcho (""Pentcho"")",0.34656948982156316,0.0,0.0,349215,0.12147384615384617,True,False,True,False,True
104,0,"Johansson, Mr. Gustaf Joel",0.4093993465694898,0.0,0.0,7540,0.13314153846153845,True,False,True,False,True
105,0,"Gustafsson, Mr. Anders Vilhelm",0.4596632319678311,0.4,0.0,3101276,0.12192307692307693,True,False,True,False,True
106,0,"Mionoff, Mr. Stoytcho",0.34656948982156316,0.0,0.0,349207,0.12147384615384617,True,False,True,False,True
107,1,"Salkjelsvik, Miss. Anna Kristine",0.2586076903744659,0.0,0.0,343120,0.11769230769230771,False,False,True,False,True
108,1,"Moss, Mr. Albert Johan",0.34656948982156316,0.0,0.0,312991,0.11961538461538462,True,False,True,False,True
109,0,"Rekic, Mr. Tido",0.4722292033174164,0.0,0.0,349249,0.12147384615384617,True,False,True,False,True
110,1,"Moran, Miss. Bertha",0.34656948982156316,0.2,0.0,371110,0.37153846153846154,False,True,False,False,True
111,0,"Porter, Mr. Walter Chamberlain",0.5853229454636844,0.0,0.0,110465,0.8,True,False,True,False,False
112,0,"Zabour, Miss. Hileni",0.17692887660216136,0.2,0.0,2665,0.2223723076923077,False,False,False,False,True
113,0,"Barton, Mr. David John",0.2711736617240512,0.0,0.0,324669,0.12384615384615387,True,False,True,False,True
114,0,"Jussila, Miss. Katriina",0.24604171902488062,0.2,0.0,4136,0.15115384615384614,False,False,True,False,True
115,0,"Attalah, Miss. Malake",0.20834380497612465,0.0,0.0,2627,0.22243538461538462,False,False,False,False,True
116,0,"Pekoniemi, Mr. Edvard",0.2586076903744659,0.0,0.0,STON/O 2. 3101294,0.12192307692307693,True,False,True,False,True
117,0,"Connors, Mr. Patrick",0.8806232721789394,0.0,0.0,370369,0.11923076923076924,True,True,False,False,True
118,0,"Turpin, Mr. William John Robert",0.35913546117114853,0.2,0.0,11668,0.3230769230769231,True,False,True,True,False
120,0,"Andersson, Miss. Ellis Anna Maria",0.01985423473234481,0.8,0.3333333333333333,347082,0.48115384615384615,False,False,True,False,True
122,0,"Moore, Mr. Leonard Charles",0.34656948982156316,0.0,0.0,A4. 54510,0.12384615384615387,True,False,True,False,True
123,0,"Nasser, Mr. Nicholas",0.40311636089469716,0.2,0.0,237736,0.4626276923076923,True,False,False,True,False
124,1,"Webber, Miss. Susan",0.40311636089469716,0.0,0.0,27267,0.2,False,False,True,True,False
126,1,"Nicola-Yarred, Master. Elias",0.14551394822819805,0.2,0.0,2651,0.17294923076923077,True,False,False,False,True
127,0,"McMahon, Mr. Martin",0.34656948982156316,0.0,0.0,370372,0.11923076923076924,True,True,False,False,True
128,1,"Madsen, Mr. Fridtjof Arne",0.2963056044232219,0.0,0.0,C 17369,0.1098723076923077,True,False,True,False,True
129,1,"Peter, Miss. Anna",0.34656948982156316,0.2,0.16666666666666666,2668,0.3439738461538462,False,False,False,False,True
130,0,"Ekstrom, Mr. Johan",0.5601910027645137,0.0,0.0,347061,0.10730769230769231,True,False,True,False,True
131,0,"Drazenoic, Mr. Jozef",0.4093993465694898,0.0,0.0,349241,0.12147384615384617,True,False,False,False,True
132,0,"Coelho, Mr. Domingos Fernandeo",0.24604171902488062,0.0,0.0,SOTON/O.Q. 3101307,0.10846153846153847,True,False,True,False,True
133,0,"Robins, Mrs. Alexander A (Grace Charity Laury)",0.5853229454636844,0.2,0.0,A/5. 3337,0.2230769230769231,False,False,True,False,True
134,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",0.35913546117114853,0.2,0.0,228414,0.4,False,False,True,True,False
135,0,"Sobey, Mr. Samuel James Hayden",0.3088715757728072,0.0,0.0,C.A. 29178,0.2,True,False,True,True,False
136,0,"Richard, Mr. Emile",0.2837396330736366,0.0,0.0,SC/PARIS 2133,0.23147384615384617,True,False,False,True,False
137,1,"Newsom, Miss. Helen Monypeny",0.2334757476752953,0.0,0.3333333333333333,11752,0.40435846153846156,False,False,True,False,False
138,0,"Futrelle, Mr. Jacques Heath",0.4596632319678311,0.2,0.0,113803,0.816923076923077,True,False,True,False,False
139,0,"Osen, Mr. Olaf Elon",0.19577783362653933,0.0,0.0,7534,0.1417953846153846,True,False,True,False,True
141,0,"Boulos, Mrs. Joseph (Sultana)",0.34656948982156316,0.0,0.3333333333333333,2678,0.23455076923076923,False,False,False,False,True
142,1,"Nysten, Miss. Anna Sofia",0.2711736617240512,0.0,0.0,347081,0.11923076923076924,False,False,True,False,True
143,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",0.2963056044232219,0.2,0.0,STON/O2. 3101279,0.24384615384615385,False,False,True,False,True
144,0,"Burke, Mr. Jeremiah",0.2334757476752953,0.0,0.0,365222,0.10384615384615385,True,True,False,False,True
145,0,"Andrew, Mr. Edgardo Samuel",0.22090977632571,0.0,0.0,231945,0.17692307692307693,True,False,True,True,False
146,0,"Nicholls, Mr. Joseph Charles",0.2334757476752953,0.2,0.16666666666666666,C.A. 33112,0.5653846153846154,True,False,True,True,False
147,1,"Andersson, Mr. August Edvard (""Wennerstrom"")",0.33400351847197784,0.0,0.0,350043,0.11993538461538462,True,False,True,False,True
148,0,"Ford, Miss. Robina Maggie ""Ruby""",0.10781603417944208,0.4,0.3333333333333333,W./C. 6608,0.5288461538461539,False,False,True,False,True
149,0,"Navratil, Mr. Michel (""Louis M Hoffman"")",0.4533802462930384,0.0,0.3333333333333333,230080,0.4,True,False,True,True,False
150,0,"Byles, Rev. Thomas Roussel Davids",0.5224930887157577,0.0,0.0,244310,0.2,True,False,True,True,False
151,0,"Bateman, Rev. Robert James",0.6355868308620256,0.0,0.0,S.O.P. 1166,0.19269230769230772,True,False,True,True,False
153,0,"Meo, Mr. Alfonzo",0.6921337019351597,0.0,0.0,A.5. 11206,0.12384615384615387,True,False,True,False,True
154,0,"van Billiard, Mr. Austin Blyler",0.5036441316913798,0.0,0.3333333333333333,A/5. 851,0.2230769230769231,True,False,True,False,True
155,0,"Olsen, Mr. Ole Martin",0.34656948982156316,0.0,0.0,Fa 265302,0.1125,True,False,True,False,True
156,0,"Williams, Mr. Charles Duane",0.6355868308620256,0.0,0.16666666666666666,PC 17597,0.9442953846153846,True,False,False,False,False
157,1,"Gilnagh, Miss. Katherine ""Katie""",0.19577783362653933,0.0,0.0,35851,0.11897384615384615,False,True,False,False,True
158,0,"Corn, Mr. Harry",0.37170143252073384,0.0,0.0,SOTON/OQ 392090,0.12384615384615387,True,False,True,False,True
159,0,"Smiljanic, Mr. Mile",0.34656948982156316,0.0,0.0,315037,0.13326923076923078,True,False,True,False,True
161,0,"Cribb, Mr. John Hatfield",0.5476250314149284,0.0,0.16666666666666666,371362,0.24769230769230774,True,False,True,False,True
162,1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",0.49736114601658704,0.0,0.0,C.A. 33595,0.24230769230769234,False,False,True,True,False
163,0,"Bengtsson, Mr. John Viktor",0.32143754712239253,0.0,0.0,347068,0.11961538461538462,True,False,True,False,True
164,0,"Calic, Mr. Jovo",0.20834380497612465,0.0,0.0,315093,0.13326923076923078,True,False,True,False,True
165,0,"Panula, Master. Eino Viljami",0.007288263382759488,0.8,0.16666666666666666,3101295,0.6105769230769231,True,False,True,False,True
166,1,"Goldsmith, Master. Frank John William ""Frankie""",0.10781603417944208,0.0,0.3333333333333333,363291,0.31576923076923075,True,False,True,False,True
167,1,"Chibnall, Mrs. (Edith Martha Bowerman)",0.34656948982156316,0.0,0.16666666666666666,113505,0.8461538461538463,False,False,True,False,False
168,0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",0.5601910027645137,0.2,0.6666666666666666,347088,0.42923076923076925,False,False,True,False,True
169,0,"Baumann, Mr. John D",0.34656948982156316,0.0,0.0,PC 17318,0.3988461538461539,True,False,True,False,False
170,0,"Ling, Mr. Lee",0.34656948982156316,0.0,0.0,1601,0.8691661538461539,True,False,True,False,True
171,0,"Van der hoef, Mr. Wyckoff",0.7612465443578789,0.0,0.0,111240,0.5153846153846154,True,False,True,False,False
172,0,"Rice, Master. Arthur",0.04498617743151546,0.8,0.16666666666666666,382652,0.4480769230769231,True,True,False,False,True
173,1,"Johnson, Miss. Eleanor Ileen",0.007288263382759488,0.2,0.16666666666666666,347742,0.17128153846153849,False,False,True,False,True
174,0,"Sivola, Mr. Antti Wilhelm",0.2586076903744659,0.0,0.0,STON/O 2. 3101280,0.12192307692307693,True,False,True,False,True
175,0,"Smith, Mr. James Clinch",0.6984166876099522,0.0,0.0,17764,0.47224307692307693,True,False,False,False,False
176,0,"Klasen, Mr. Klas Albin",0.22090977632571,0.2,0.16666666666666666,350404,0.12083384615384615,True,False,True,False,True
177,0,"Lefebre, Master. Henry Forbes",0.34656948982156316,0.6000000000000001,0.16666666666666666,4133,0.3917953846153846,True,False,True,False,True
178,0,"Isham, Miss. Ann Elizabeth",0.6230208595124404,0.0,0.0,PC 17595,0.44173076923076926,False,False,False,False,False
179,0,"Hale, Mr. Reginald",0.37170143252073384,0.0,0.0,250653,0.2,True,False,True,True,False
180,0,"Leonard, Mr. Lionel",0.4470972606182458,0.0,0.0,LINE,0.0,True,False,True,False,True
182,0,"Pernot, Mr. Rene",0.34656948982156316,0.0,0.0,SC/PARIS 2131,0.23153846153846155,True,False,False,True,False
183,0,"Asplund, Master. Clarence Gustaf Hugo",0.10781603417944208,0.8,0.3333333333333333,347077,0.4828846153846154,True,False,True,False,True
184,1,"Becker, Master. Richard F",0.007288263382759488,0.4,0.16666666666666666,230136,0.6000000000000001,True,False,True,True,False
185,1,"Kink-Heilmann, Miss. Luise Gretchen",0.04498617743151546,0.0,0.3333333333333333,315153,0.33884615384615385,False,False,True,False,True
186,0,"Rood, Mr. Hugh Roscoe",0.34656948982156316,0.0,0.0,113767,0.7692307692307693,True,False,True,False,False
187,1,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",0.34656948982156316,0.2,0.0,370365,0.23846153846153847,False,True,False,False,True
188,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",0.5601910027645137,0.0,0.0,111428,0.4084615384615385,True,False,True,False,False
189,0,"Bourke, Mr. John",0.49736114601658704,0.2,0.16666666666666666,364849,0.23846153846153847,True,True,False,False,True
190,0,"Turcin, Mr. Stjepan",0.4470972606182458,0.0,0.0,349247,0.12147384615384617,True,False,True,False,True
191,1,"Pinsky, Mrs. (Rosa)",0.39683337521990447,0.0,0.0,234604,0.2,False,False,True,True,False
192,0,"Carbines, Mr. William",0.2334757476752953,0.0,0.0,28424,0.2,True,False,True,True,False
193,1,"Andersen-Jensen, Miss. Carla Christine Nielsine",0.2334757476752953,0.2,0.0,350046,0.12083384615384615,False,False,True,False,True
194,1,"Navratil, Master. Michel M",0.032420206081930136,0.2,0.16666666666666666,230080,0.4,True,False,True,True,False
195,1,"Brown, Mrs. James Joseph (Margaret Tobin)",0.5476250314149284,0.0,0.0,PC 17610,0.4264738461538462,False,False,False,False,False
197,0,"Mernagh, Mr. Robert",0.34656948982156316,0.0,0.0,368703,0.11923076923076924,True,True,False,False,True
198,0,"Olsen, Mr. Karl Siegwart Andreas",0.5224930887157577,0.0,0.16666666666666666,4579,0.12929538461538462,True,False,True,False,True
199,1,"Madigan, Miss. Margaret ""Maggie""",0.34656948982156316,0.0,0.0,370370,0.11923076923076924,False,True,False,False,True
200,0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",0.2963056044232219,0.0,0.0,248747,0.2,False,False,True,True,False
201,0,"Vande Walle, Mr. Nestor Cyriel",0.34656948982156316,0.0,0.0,345770,0.14615384615384616,True,False,True,False,True
203,0,"Johanson, Mr. Jakob Alfred",0.4219653179190751,0.0,0.0,3101264,0.09993538461538462,True,False,True,False,True
204,0,"Youseff, Mr. Gerious",0.5664739884393064,0.0,0.0,2628,0.11115384615384616,True,False,False,False,True
205,1,"Cohen, Mr. Gurshon ""Gus""",0.22090977632571,0.0,0.0,A/5 3540,0.12384615384615387,True,False,True,False,True
206,0,"Strom, Miss. Telma Matilda",0.01985423473234481,0.0,0.16666666666666666,347054,0.1609615384615385,False,False,True,False,True
207,0,"Backstrom, Mr. Karl Alfred",0.39683337521990447,0.2,0.0,3101278,0.24384615384615385,True,False,True,False,True
208,1,"Albimona, Mr. Nassef Cassem",0.32143754712239253,0.0,0.0,2699,0.2890384615384616,True,False,False,False,True
209,1,"Carr, Miss. Helen ""Ellen""",0.19577783362653933,0.0,0.0,367231,0.11923076923076924,False,True,False,False,True
210,1,"Blank, Mr. Henry",0.49736114601658704,0.0,0.0,112277,0.47692307692307695,True,False,False,False,False
211,0,"Ali, Mr. Ahmed",0.2963056044232219,0.0,0.0,SOTON/O.Q. 3101311,0.10846153846153847,True,False,True,False,True
212,1,"Cameron, Miss. Clear Annie",0.4345312892686604,0.0,0.0,F.C.C. 13528,0.3230769230769231,False,False,True,True,False
213,0,"Perkin, Mr. John Henry",0.2711736617240512,0.0,0.0,A/5 21174,0.11153846153846154,True,False,True,False,True
214,0,"Givard, Mr. Hans Kristensen",0.37170143252073384,0.0,0.0,250646,0.2,True,False,True,True,False
215,0,"Kiernan, Mr. Philip",0.34656948982156316,0.2,0.0,367229,0.11923076923076924,True,True,False,False,True
217,1,"Honkanen, Miss. Eliina",0.33400351847197784,0.0,0.0,STON/O2. 3101283,0.12192307692307693,False,False,True,False,True
218,0,"Jacobsohn, Mr. Sidney Samuel",0.5224930887157577,0.2,0.0,243847,0.4153846153846154,True,False,True,True,False
220,0,"Harris, Mr. Walter",0.37170143252073384,0.0,0.0,W/C 14208,0.16153846153846155,True,False,True,True,False
221,1,"Sunderland, Mr. Victor Francis",0.19577783362653933,0.0,0.0,SOTON/OQ 392089,0.12384615384615387,True,False,True,False,True
222,0,"Bracken, Mr. James H",0.33400351847197784,0.0,0.0,220367,0.2,True,False,True,True,False
223,0,"Green, Mr. George Henry",0.6355868308620256,0.0,0.0,21440,0.12384615384615387,True,False,True,False,True
224,0,"Nenkoff, Mr. Christo",0.34656948982156316,0.0,0.0,349234,0.12147384615384617,True,False,True,False,True
226,0,"Berglund, Mr. Karl Ivar Sven",0.2711736617240512,0.0,0.0,PP 4348,0.14384615384615385,True,False,True,False,True
227,1,"Mellors, Mr. William John",0.2334757476752953,0.0,0.0,SW/PP 751,0.16153846153846155,True,False,True,True,False
228,0,"Lovell, Mr. John Hall (""Henry"")",0.2523247046996733,0.0,0.0,A/5 21173,0.11153846153846154,True,False,True,False,True
229,0,"Fahlstrom, Mr. Arne Jonas",0.22090977632571,0.0,0.0,236171,0.2,True,False,True,True,False
230,0,"Lefebre, Miss. Mathilde",0.34656948982156316,0.6000000000000001,0.16666666666666666,4133,0.3917953846153846,False,False,True,False,True
232,0,"Larsson, Mr. Bengt Edvin",0.35913546117114853,0.0,0.0,347067,0.11961538461538462,True,False,True,False,True
233,0,"Sjostedt, Mr. Ernst Adolf",0.7361146016587082,0.0,0.0,237442,0.2076923076923077,True,False,True,True,False
234,1,"Asplund, Miss. Lillian Gertrud",0.05755214878110078,0.8,0.3333333333333333,347077,0.4828846153846154,False,False,True,False,True
235,0,"Leyson, Mr. Robert William Norman",0.2963056044232219,0.0,0.0,C.A. 29566,0.16153846153846155,True,False,True,True,False
236,0,"Harknett, Miss. Alice Phoebe",0.34656948982156316,0.0,0.0,W./C. 6609,0.11615384615384616,False,False,True,False,True
237,0,"Hold, Mr. Stephen",0.5476250314149284,0.2,0.0,26707,0.4,True,False,True,True,False
238,1,"Collyer, Miss. Marjorie ""Lottie""",0.09525006282985675,0.0,0.3333333333333333,C.A. 31921,0.40384615384615385,False,False,True,True,False
239,0,"Pengelly, Mr. Frederick William",0.2334757476752953,0.0,0.0,28665,0.16153846153846155,True,False,True,True,False
